article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
Medicare open enrollment begins: 6 notes,2025-10-14T17:06:15-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/medicare-open-enrollment-begins-6-notes,2,Active Exit,,smaller carriers,Medicare Advantage,,,,,exiting the market entirely,,Some smaller carriers are exiting the Medicare Advantage market entirely amid market headwinds.,exit,payer_market_exit
Medicare Part D in 2026: 4 notes,2025-10-08T09:31:22-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-part-d-in-2026-4-notes,1,Active Exit,,Centene (Wellcare),Medicare Part D,,,,certain PDP regions,pivot resources toward MA,,Centene (Wellcare) has exited certain PDP regions as they pivot resources toward the Medicare Advantage market.,exit,payer_market_exit
Medicare Part D in 2026: 4 notes,2025-10-08T09:31:22-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-part-d-in-2026-4-notes,2,Active Exit,,Health Care Service Corporation (Cigna/HealthSpring),Medicare Part D,,,,certain PDP regions,pivot resources toward MA,,Health Care Service Corporation (Cigna/HealthSpring) has exited certain PDP regions as they pivot resources toward the Medicare Advantage market.,exit,payer_market_exit
Medicare Part D in 2026: 4 notes,2025-10-08T09:31:22-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-part-d-in-2026-4-notes,3,Active Exit,,Elevance Health (Anthem),Medicare Part D,,,,certain PDP regions,pivot resources toward MA,,Elevance Health (Anthem) has exited certain PDP regions as they pivot resources toward the Medicare Advantage market.,exit,payer_market_exit
"Sentara pulls back from Medicare Advantage, laying off 200+",2025-10-06T08:10:07-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/sentara-health-plans-to-mostly-exit-medicare-advantage-market-in-2026,1,Planned Exit,,Sentara Health Plans,Medicare Advantage,C-SNP,2026-01-01,"VA,NC,FL",,These products are no longer financially sustainable in the current environment.,"More than 200 employees laid off, including 127 in Virginia and 80 in Florida.","Sentara Health Plans will exit the Medicare Advantage market, including MA prescription drug HMO and C-SNP plans, in Virginia, North Carolina, and Florida effective January 1, 2026. The decision is due to financial unsustainability and market dynamics, leading to layoffs of over 200 employees.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,1,Planned Exit,,Michigan Medicine,Medicare Advantage,,2025-12-31,,,Discontinuing its health plan,"over 9,000 MA members","Michigan Medicine is discontinuing its health plan, which covers over 9,000 MA members, effective December 31, 2025.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,2,Planned Exit,,Ochsner Health Plan,Medicare Advantage,,2026-01-01,,,Will no longer offer MA plans,,"Ochsner Health Plan will no longer offer Medicare Advantage plans starting January 1, 2026.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,3,Planned Exit,,Blue Cross Blue Shield Vermont,Medicare Advantage,,2026-01-01,,,Fully exiting the MA market,,"Blue Cross Blue Shield Vermont is fully exiting the Medicare Advantage market effective January 1, 2026.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,4,Planned Exit,Carle Health,,Medicare Advantage,,2025-12-31,,"Urbana, Illinois",Will close its insurance branches,,"Carle Health will close its insurance branches in Urbana, Illinois at the end of the year.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,5,Planned Exit,,Health Alliance,Medicare Advantage,,2026-01-01,,,No longer provide MA plans,,"Health Alliance will no longer provide Medicare Advantage plans starting January 1, 2026.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,6,Planned Exit,,FirstCarolinaCare,Medicare Advantage,,2026-01-01,,,No longer provide MA plans,,"FirstCarolinaCare will no longer provide Medicare Advantage plans starting January 1, 2026.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,7,Planned Exit,,UCare,Medicare Advantage,,2026-01-01,"MN,WI",,Asked CMS to mutually terminate MA plans,"158,000 MA members","UCare asked CMS to mutually terminate its Medicare Advantage plans for 2026, impacting 158,000 MA members across Minnesota and parts of western Wisconsin.",exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,8,Planned Exit,Samaritan Health Services,,Medicare Advantage,Dual-eligible special needs plan,2026-01-01,OR,"Corvallis, Oregon",Will pull out of MA markets,,Samaritan Health Services will pull out of Medicare Advantage markets in 2026 while still offering its dual-eligible special needs plan.,exit,payer_market_exit
8 insurers exiting Medicare Advantage,2025-10-03T15:41:49-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/7-insurers-fully-exiting-medicare-advantage,9,Planned Exit,,Sentara Health Plans,Medicare Advantage,Dual-eligible special needs plan,2026-01-01,"VA,NC,FL",,Will not offer Medicare Advantage plans,,"Sentara Health Plans will not offer Medicare Advantage, MA prescription drug HMO, or C-SNP plans in Virginia, North Carolina, and Florida in 2026.",exit,payer_market_exit
Ochsner Health Plan exits Medicare Advantage market,2025-10-03T15:26:36-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/ochsner-health-plan-exits-medicare-advantage-market,1,Planned Exit,,Ochsner Health Plan,Medicare Advantage,,2026-01-01,LA,,Ongoing federal reimbursement changes and high medical utilization.,"Approximately 6,000 total MA members.","Ochsner Health Plan will exit the Medicare Advantage market effective January 1, 2026, impacting around 6,000 members. The decision is influenced by ongoing federal reimbursement changes and high medical utilization.",exit,payer_market_exit
BCBS Vermont exits Medicare Advantage market,2025-10-03T09:09:47-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/bcbs-vermont-exits-medicare-advantage-market,1,Planned Exit,,Blue Cross Blue Shield,Medicare Advantage,,2026-01-01,,,Citing an unsustainable market to offer affordable products.,,"Blue Cross Blue Shield is exiting the Medicare Advantage market for 2026, citing an unsustainable market to offer affordable products.",exit,payer_market_exit
Insurers launch 2026 Medicare Advantage plans,2025-10-01T12:13:33-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/insurers-launch-2026-medicare-plans,1,Active Exit,,UnitedHealthcare,Medicare Advantage,,,,,UnitedHealthcare said it would some exit MA markets.,"affecting 600,000 people total","UnitedHealthcare announced it would exit some Medicare Advantage markets, impacting a total of 600,000 beneficiaries.",exit,payer_market_exit
Insurers launch 2026 Medicare Advantage plans,2025-10-01T12:13:33-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/insurers-launch-2026-medicare-plans,2,Active Exit,,Aetna,Medicare Advantage,,,,,Aetna's insurance business will offer MA plans in fewer states.,57 million Medicare-eligible beneficiaries,"Aetna CVS Health's insurance business is reducing its Medicare Advantage footprint, now offering plans in 43 states, down from previous years, affecting 57 million beneficiaries.",exit,payer_market_exit
Big MA market exits are not fazing all insurers,2025-10-01T12:02:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/big-ma-market-exits-are-not-fazing-all-insurers,1,Active Exit,,Humana,Medicare Advantage,,,,,Exiting unprofitable markets,,Humana is exiting unprofitable Medicare Advantage markets. The effective date is not specified.,exit,payer_market_exit
Big MA market exits are not fazing all insurers,2025-10-01T12:02:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/big-ma-market-exits-are-not-fazing-all-insurers,2,Active Exit,,Cigna,Medicare Advantage,,,,,Exiting unprofitable markets,,Cigna is exiting unprofitable Medicare Advantage markets. The effective date is not specified.,exit,payer_market_exit
CMS terminates UCare's Medicare Advantage contracts,2025-09-25T08:56:57-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/cms-terminates-ucares-medicare-advantage-contracts,1,Active Exit,,UCare,Medicare Advantage,,2026-01-01,"MN,WI",Minnesota and western Wisconsin,UCare declined to sign agreements for 2026 and sought to mutually exit the MA market.,"Impacts about 158,000 MA members.","CMS has terminated UCare’s Medicare Advantage contracts after the insurer declined to sign agreements for 2026. This impacts approximately 158,000 members in Minnesota and western Wisconsin, where UCare holds a significant market share.",exit,payer_market_exit
UnitedHealth Group in the headlines: 10 updates,2025-09-19T08:52:33-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-10-updates-16,1,Resolved,Johns Hopkins Medicine,UnitedHealthcare,,,,,,Ended contract negotiations without a new deal.,,Johns Hopkins Medicine ended contract negotiations with UnitedHealthcare without reaching a new agreement.,exit,provider_payer_exit
UnitedHealth Group in the headlines: 10 updates,2025-09-19T08:52:33-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-10-updates-16,2,Resolved,,UnitedHealth’s Rocky Mountain HMO,Individual Market,,,CO,,Withdrew plans to end coverage following legislative action.,,UnitedHealth’s Rocky Mountain HMO withdrew its plans to end coverage for multiple health plans in Colorado's individual market after legislative action.,exit,payer_market_exit
Wisconsin payer scaling back ACA offerings in 2026,2025-09-16T17:25:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aca/wisconsin-payer-scaling-back-aca-offerings-in-2026,1,Planned Exit,,Common Ground Healthcare Cooperative,ACA,,2026-01-01,WI,11 Wisconsin counties,Rising health care costs and unexpected shifts in the use of health services.,,Common Ground Healthcare Cooperative is pulling back from offering individual and family health plans in 11 Wisconsin counties in 2026 due to rising health care costs and unexpected shifts in the use of health services.,exit,payer_market_exit
California hits Medicare Advantage payer with cease-and-desist,2025-09-15T16:00:00-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/california-hits-medicare-advantage-payer-with-cease-and-desist,1,Active Exit,,Meritage Health Plan,Medicare Advantage,,2025-10-31,CA,Northern California and the Central Valley,Cease-and-desist order due to failure to meet financial solvency requirements.,"Nearly 11,000 MA enrollees will be reassigned.","The California Department of Managed Health Care issued a cease-and-desist order against Meritage Health Plan, effectively shutting it down by the end of October. This follows a previous order prohibiting new member enrollments due to financial solvency issues.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,1,Planned Exit,,Elevance,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,2,Planned Exit,,Martin’s Point,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,3,Planned Exit,,UnitedHealthcare,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,4,Planned Exit,,WellSense,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,5,Planned Exit,,Aetna,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
New Hampshire official warns Medicare Advantage market is 'collapsing',2025-09-11T09:53:29-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/new-hampshire-official-warns-medicare-advantage-market-is-collapsing,6,Planned Exit,,Humana,Medicare Advantage,,2026-01-01,NH,,Insurers are exiting the Medicare Advantage market.,Seniors will have little to no access to Medicare Advantage.,"Insurers are planning to exit the Medicare Advantage market in New Hampshire, leading to fewer offerings and access for seniors. This is expected to take effect in 2026.",exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,1,Active Exit,,Elevance Health,Medicare Advantage,,,,,Axing some MA plans that may struggle with long-term economic viability.,"Affecting 150,000 people.","Elevance Health is exiting some Medicare Advantage plans due to economic viability concerns, impacting 150,000 members.",exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,2,Active Exit,,Humana,Medicare Advantage,,,,,Exiting unprofitable plans and counties.,"Expecting a drop of 500,000 members.","Humana is exiting unprofitable Medicare Advantage plans and counties, which is expected to result in a loss of 500,000 members.",exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,3,Active Exit,,UnitedHealthcare,Medicare Advantage,,,,,Decided to discontinue some MA plans.,"Affecting more than 600,000 members.","UnitedHealthcare is discontinuing some Medicare Advantage plans, impacting over 600,000 members.",exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,4,Active Exit,,Aetna,Medicare Advantage,,,,,Prepared to lose up to 10% of its MA members.,,Aetna is prepared to lose up to 10% of its Medicare Advantage members this year.,exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,5,Active Exit,,UCare,Medicare Advantage,,2026-01-01,,,,,UCare will exit the Medicare Advantage market in 2026.,exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,6,Active Exit,Samaritan Health Plans,,Medicare Advantage,,2025-01-01,,,,,Samaritan Health Plans will leave the Medicare Advantage market next year.,exit,payer_market_exit
Hospitals aren't the only ones stepping back from Medicare Advantage,2025-09-05T15:28:45-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/hospitals-arent-the-only-ones-breaking-with-medicare-advantage,7,Planned Exit,Carle Health,,,,2025-12-31,,,,,"Carle Health will close its insurance business at the end of 2025, which includes Health Alliance and FirstCarolinaCare’s MA plans.",exit,provider_market_exit
"Elevance among latest insurers to pull back on Medicare Advantage, 150,000 affected",2025-09-05T10:15:08-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/elevance-among-latest-insurers-to-pull-back-on-medicare-advantage-150000-affected,1,Planned Exit,,Elevance Health,Medicare Advantage,,2026-01-01,,some counties,Decision to exit some plans and counties where attractive economic performance was not seen.,"Affecting about 150,000 members.","Elevance Health is exiting some Medicare Advantage plans and standalone Part D plans, affecting about 150,000 members. This decision is part of a larger industry trend and is aimed at reallocating resources to more sustainable offerings.",exit,payer_market_exit
"UCare to exit Medicare Advantage market in 2026, lay off employees",2025-09-04T15:47:53-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/ucare-to-exit-medicare-advantage-market-in-2026,1,Planned Exit,,UCare,Medicare Advantage,,2026-01-01,"MN,WI",Minnesota and parts of western Wisconsin,Rising medical costs and challenges within the broader market,"Impacting 158,000 MA members and 9% of UCare’s workforce","UCare has requested to mutually terminate its Medicare Advantage plans for 2026 due to rising medical costs. This exit will affect 158,000 members in Minnesota and parts of western Wisconsin, impacting 9% of its workforce.",exit,payer_market_exit
"UCare to exit Medicare Advantage market in 2026, lay off employees",2025-09-04T15:47:53-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/ucare-to-exit-medicare-advantage-market-in-2026,2,Planned Exit,UCare,,,,2023-09-01,MN,11 counties in Minnesota,,"Affecting 88,000 beneficiaries","UCare will withdraw from 11 counties in Minnesota where it offers Medicaid plans, beginning in September, affecting 88,000 beneficiaries.",exit,provider_market_exit
Oregon payer to exit Medicare Advantage market,2025-09-04T14:12:19-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/oregon-payer-to-exit-medicare-advantage-market,1,Planned Exit,,Samaritan Health Plans,Medicare Advantage,,2026-01-01,OR,"Lincoln, Benton, Linn counties",Nationwide challenges in healthcare,"Approximately 14,000 Medicare Advantage members","Samaritan Health Plans will exit the Medicare Advantage market in 2026 due to nationwide challenges in healthcare. The effective date is January 1, 2026, impacting around 14,000 members in Lincoln, Benton, and Linn counties in Oregon.",exit,payer_market_exit
UnitedHealth Group in the headlines: 12 updates,2025-08-29T10:24:31-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-12-updates-8,1,Active Exit,Johns Hopkins Medicine,UnitedHealthcare,,,2025-08-25,,,Unable to agree on a new contract,,"Johns Hopkins Medicine went out of network with UnitedHealthcare on August 25, 2025, after the parties were unable to agree on a new contract.",exit,provider_payer_exit
UnitedHealth Group in the headlines: 12 updates,2025-08-29T10:24:31-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-group-in-the-headlines-12-updates-8,2,Planned Exit,,UnitedHealth’s Rocky Mountain HMO,Individual Market,,,CO,,,,UnitedHealth’s Rocky Mountain HMO filed plans to end coverage for multiple health plans in the individual market for Colorado.,exit,payer_market_exit
Colorado lawmakers move to offset rising ACA premiums,2025-08-25T16:29:37-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aca/colorado-lawmakers-move-to-offset-rising-aca-premiums,1,Active Exit,,UnitedHealthcare,ACA,,,CO,,Discontinuing coverage for several plans in the market.,"Affecting 96,000 people.","UnitedHealthcare has announced plans to discontinue coverage for several plans in the ACA market, affecting 96,000 people in Colorado.",exit,payer_market_exit
Colorado lawmakers move to offset rising ACA premiums,2025-08-25T16:29:37-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/aca/colorado-lawmakers-move-to-offset-rising-aca-premiums,2,Active Exit,,Elevance,ACA,,,CO,,Discontinuing coverage for several plans in the market.,"Affecting 96,000 people.","Elevance has announced plans to discontinue coverage for several plans in the ACA market, affecting 96,000 people in Colorado.",exit,payer_market_exit
"UnitedHealth, Elevance scaling back ACA offerings in Colorado",2025-08-21T09:14:02-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-elevance-scaling-back-aca-offerings-in-colorado,1,Planned Exit,,UnitedHealth,ACA,,,CO,,Plans to end coverage for multiple health plans in the individual market.,"96,000 Coloradans projected to be affected.","UnitedHealth plans to end coverage for multiple health plans in Colorado's individual market, affecting 96,000 residents. This decision is part of a broader trend as the ACA's enhanced premium tax credits are set to expire, potentially leading to significant coverage loss.",exit,payer_market_exit
"UnitedHealth, Elevance scaling back ACA offerings in Colorado",2025-08-21T09:14:02-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-elevance-scaling-back-aca-offerings-in-colorado,2,Planned Exit,,Elevance,ACA,,,CO,,Plans to end coverage for multiple health plans in the individual market.,"96,000 Coloradans projected to be affected.","Elevance's Anthem HMO in Colorado is also planning to end coverage for multiple health plans in the individual market, impacting 96,000 residents. This move coincides with the expiration of enhanced premium tax credits under the ACA.",exit,payer_market_exit
Georgia payer placed into receivership amid insolvency,2025-08-19T17:10:06-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/georgia-payer-placed-into-receivership-amid-insolvency,1,Planned Exit,,Sonder Health Plans,Medicare Advantage,,2025-10-01,GA,,Insolvency and inability to raise additional funds from outside investors.,"Approximately 24,000 members will need to choose another health plan.","Sonder Health Plans was placed into receivership due to insolvency. Its Medicare Advantage plan will terminate on October 1, affecting about 24,000 members who will need to enroll in a new health plan.",exit,payer_market_exit
Mountain Health Co-Op exiting Wyoming,2025-08-15T09:47:16-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/mountain-health-co-op-exiting-wyoming,1,Planned Exit,,Mountain Health Co-Op,ACA,,2025-12-31,WY,,High cost of healthcare and unique challenges of serving rural communities.,"Insures more than 11,000 people in Wyoming.",Mountain Health Co-Op is exiting the ACA market in Wyoming at the end of 2025 due to high healthcare costs and challenges in serving rural areas. The company will continue to offer plans in Montana and Idaho.,exit,payer_market_exit
"As payers stumble, hospitals eye their Medicare Advantage members",2025-08-07T15:58:11-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/as-payers-stumble-hospitals-eye-their-medicare-advantage-members,1,Active Exit,,UnitedHealthcare,Medicare Advantage,,,,,"Exiting unprofitable plans that currently serve over 600,000 members.","Over 600,000 members affected.","UnitedHealthcare has made the decision to exit plans serving over 600,000 members, primarily in less managed products such as PPO offerings. This decision is part of a broader strategy to reshape their Medicare Advantage portfolio in response to declining profitability.",exit,payer_market_exit
"As payers stumble, hospitals eye their Medicare Advantage members",2025-08-07T15:58:11-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/as-payers-stumble-hospitals-eye-their-medicare-advantage-members,2,Active Exit,,Humana,Medicare Advantage,,,,,Exiting unprofitable plans and geographies.,"Expected loss of up to 500,000 Medicare Advantage members.","Humana is expected to lose up to 500,000 Medicare Advantage members by the end of 2025 as it exits unprofitable plans and geographies. This decision reflects two years of adjustments related to rising medical utilization trends and regulatory changes.",exit,payer_market_exit
"As payers stumble, hospitals eye their Medicare Advantage members",2025-08-07T15:58:11-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/as-payers-stumble-hospitals-eye-their-medicare-advantage-members,3,Active Exit,,CVS Health,Medicare Advantage,,,,,Exiting unprofitable counties.,Projected loss of up to 10% of its MA members.,"CVS Health has adopted a 'margins over membership' approach for its Medicare Advantage offerings, projecting a loss of up to 10% of its MA members as the company exits unprofitable counties.",exit,payer_market_exit
Insurers pull Medicare Advantage plans as profit pressures mount,2025-08-05T17:10:07-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/insurers-pull-medicare-advantage-plans-as-profit-pressures-mount,1,Active Exit,,UnitedHealthcare,Medicare Advantage,,,,,"Exiting plans that currently serve over 600,000 members, primarily in less managed products such as PPO offerings.","Over 600,000 members affected.","UnitedHealthcare is exiting plans that serve over 600,000 members due to profitability pressures. The exit is part of a broader strategy to cut unprofitable offerings.",exit,payer_market_exit
Insurers pull Medicare Advantage plans as profit pressures mount,2025-08-05T17:10:07-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/insurers-pull-medicare-advantage-plans-as-profit-pressures-mount,2,Active Exit,,Humana,Medicare Advantage,,,,,Exiting plans and geographic markets that do not have a clear path to profitability.,"Expected loss of up to 500,000 members by the end of 2025.","Humana is continuing to exit unprofitable plans and geographic markets, expecting to lose up to 500,000 members by the end of 2025.",exit,payer_market_exit
Insurers pull Medicare Advantage plans as profit pressures mount,2025-08-05T17:10:07-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/insurers-pull-medicare-advantage-plans-as-profit-pressures-mount,3,Active Exit,,CVS Health,Medicare Advantage,,,,Unprofitable counties,Exiting unprofitable counties to restore margins.,Potential loss of up to 10% of MA members in 2025.,"CVS Health is exiting unprofitable counties in its Medicare Advantage offerings, with a potential loss of up to 10% of its members in 2025.",exit,payer_market_exit
Insurers pull Medicare Advantage plans as profit pressures mount,2025-08-05T17:10:07-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/medicare-advantage/insurers-pull-medicare-advantage-plans-as-profit-pressures-mount,4,Active Exit,,Cigna,Medicare Advantage,,2024,,,Exited the MA business altogether.,,"Cigna exited the Medicare Advantage business in 2024, selling its MA portfolio to Health Care Service Corp.",exit,payer_market_exit
UnitedHealth sets 'a tone of change and reform',2025-07-29T15:26:40-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-sets-a-tone-of-change-and-reform,1,Planned Exit,UnitedHealth,,Medicare Advantage,,,,,"Discontinuing MA plans that currently serve more than 600,000 members.","More than 600,000 members affected.","UnitedHealth plans to discontinue Medicare Advantage plans that currently serve over 600,000 members. This is part of a broader strategy to address financial challenges and improve market conditions.",exit,provider_market_exit
UnitedHealth sets 'a tone of change and reform',2025-07-29T15:26:40-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-sets-a-tone-of-change-and-reform,2,Planned Exit,,UnitedHealth,ACA,,,,,May exit some markets if it can’t achieve necessary rates.,Potential significant drop in ACA membership if enhanced premium subsidies expire.,"UnitedHealth may exit some ACA markets if it cannot achieve the rates needed to improve market morbidity. If enhanced premium subsidies expire at the end of 2025, membership is likely to drop significantly.",exit,payer_market_exit
UnitedHealth sets 'a tone of change and reform',2025-07-29T15:26:40-05:00,payer,Beckers Payer,https://www.beckerspayer.com/payer/unitedhealth-sets-a-tone-of-change-and-reform,3,Planned Exit,,UnitedHealth,Medicaid,,,,,Expected loss in the non-duals Medicaid business next year.,,UnitedHealth anticipates a loss in the non-duals Medicaid business next year due to ongoing financial challenges and elevated trends in costs.,exit,payer_market_exit
