article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,2,Planned Closure,Legacy Devers Eye Institute at Emanuel Medical Center,,,,2025-01-09,OR,Portland,,,Legacy Devers Eye Institute at Emanuel Medical Center in Portland will close on January 9. The closure is part of multiple service changes by Legacy Health.,closure,service_line_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,3,Planned Closure,Legacy Salmon Creek Pain Clinic,,,,2025-03-20,WA,Vancouver,,,"Legacy Salmon Creek Pain Clinic in Vancouver, WA, will close on March 20. This closure is part of Legacy Health's service changes.",closure,service_line_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,4,Planned Closure,four occupational medicine and workplace health clinics,,,,,OR,Portland,,43 employees affected,"Providence plans to permanently close four occupational medicine and workplace health clinics in Portland, affecting 43 employees.",closure,office_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,5,Planned Closure,Select Specialty Hospital–South Dakota,,,,2023-11-07,SD,Sioux Falls,,90 employees laid off,"Select Specialty Hospital–South Dakota will close on or around November 7, resulting in 90 layoffs. The hospital is located inside Sanford USD Medical Center.",closure,hospital_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,6,Planned Closure,Waterville walk-in clinic,,,,,ME,Waterville,,30 workers affected,"Northern Light Health plans to close its Waterville walk-in clinic by year’s end, affecting about 30 workers.",closure,office_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,7,Planned Closure,Millard Fillmore Surgery Center,,,,,NY,Williamsville,,32 employees laid off,"Kaleida Health plans to close its Millard Fillmore Surgery Center in Williamsville, NY, resulting in 32 layoffs.",closure,hospital_closure
"93 hospitals, health systems cutting jobs",2025-12-31T14:00:36-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/20-hospitals-health-systems-cutting-jobs/,8,Planned Closure,Glenn Medical Center,,,,2023-10-21,CA,,CMS decision to revoke critical access hospital designation,225 employees laid off,"Glenn Medical Center will close on October 21 following CMS' decision to revoke its critical access hospital designation, affecting 225 employees.",closure,hospital_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,1,Planned Closure,Santa Rosa Memorial Hospital,,,,2026-03-27,CA,,Low patient volumes and financial challenges.,,"Santa Rosa Memorial Hospital plans to close its inpatient children’s unit on March 27, 2026, due to low patient volumes and financial challenges.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,2,Planned Closure,Tower Health,,,,,PA,Phoenixville Hospital,,Affects 55 employees.,"Tower Health will close the post-acute rehab center at its Phoenixville Hospital, affecting 55 employees.",closure,facility_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,3,Planned Closure,Greene County General Hospital,,,,2026-01-31,IN,,Long-term challenges facing rural hospitals.,,"Greene County General Hospital will end obstetric services effective January 31, 2026, due to long-term challenges facing rural hospitals.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,4,Planned Closure,Ashland Community Hospital,,,,2026-03-01,OR,,,,"Ashland Community Hospital will transition to a satellite campus by spring 2026, ending its inpatient and obstetrics services.",closure,facility_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,5,Planned Closure,Fitzgibbon Hospital,,,,2023-12-31,MO,,Effort to save more than $2 million annually.,,"Fitzgibbon Hospital plans to close two primary care clinics, an inpatient behavioral health unit, and Fitzgibbon Home Health and Hospice services effective December 31, 2023.",closure,closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,6,Planned Closure,OSF HealthCare,,,,,IL,"Ottawa, Peru",,,OSF HealthCare plans to consolidate inpatient obstetrics and intensive care unit services.,closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,7,Active Closure,UofL Health,,,,2023-11-10,KY,Shelbyville Hospital,Decreased usage since the pandemic.,,"UofL Health closed the ICU at its Shelbyville Hospital on November 10, 2023, due to decreased usage since the pandemic.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,8,Planned Closure,Ascension Alexian Brothers,,,,,IL,"Elk Grove Village, Hoffman Estates",,,Ascension plans to transition inpatient obstetrics services from Ascension Alexian Brothers to Ascension St. Alexius Women and Children’s Hospital.,closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,9,Planned Closure,Connecticut Children’s,,,,,CT,"St. Mary’s Hospital, Waterbury","Staffing shortages, low volumes.",,Connecticut Children’s filed a certificate of need to close an inpatient unit at St. Mary’s Hospital due to staffing shortages and low volumes.,closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,10,Planned Closure,Regional Medical Center of Central Alabama,,,,,AL,,,Lay off around 90 employees.,Regional Medical Center of Central Alabama plans to end inpatient services and lay off around 90 employees.,closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,11,Active Closure,Centra Health,,,,2023-12-19,VA,Centra Southside Community Hospital,Decline in patient volume.,,"Centra Health closed the labor and delivery unit and OB-GYN surgical services at its Centra Southside Community Hospital on December 19, 2023.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,12,Active Closure,Allina Health,,,,2023-12-01,MN,Faribault Medical Center,,,"Allina Health consolidated labor and delivery services in southern Minnesota and closed the birth center at Faribault Medical Center on December 1, 2023.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,13,Planned Closure,Horn Memorial Hospital,,,,2023-12-12,IA,,Operational challenges.,,"Horn Memorial Hospital plans to discontinue its home health and hospice services effective December 12, 2023.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,14,Planned Closure,Kettering Health,,,,,OH,"Beavercreek, Kettering",Birthing rate declines.,,Kettering Health plans to end obstetric services at Soin Medical Center and transition them to Kettering Health Main Campus.,closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,15,Planned Closure,MetroHealth,,,,2023-12-31,OH,Cleveland Heights Medical Center,Funding reallocation.,Reassign 35 employees.,"MetroHealth plans to close its psychiatric emergency department at Cleveland Heights Medical Center by December 31, 2023, reassigning 35 employees.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,16,Planned Closure,Aspirus Iron River Hospital,,,,2023-12-31,MI,,Decline in after-hours cases.,,"Aspirus Iron River Hospital ended overnight emergency surgeries effective October 26, 2023, and plans to end labor and delivery services at Ironwood Hospital by December 31, 2023.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,17,Active Closure,Providence,,,,2023-11-07,OR,Portland,Loss of occupational medicine clinicians.,Affects 43 employees.,"Providence permanently closed four occupational medicine and workplace health services clinics in Portland on November 7, 2023, affecting 43 employees.",closure,facility_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,18,Planned Closure,Universal Health Services,,,,2026-01-30,CA,Corona Regional Medical Center,Declining birth rate.,,"Universal Health Services will close its maternity services at Southwest Healthcare Corona Regional Medical Center on January 30, 2026, due to a declining birth rate.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,19,Planned Closure,Powell Valley Healthcare,,,,,WY,Cody,Financial stability.,Lay off seven employees.,"Powell Valley Healthcare plans to end oncology services and close its internal medicine clinic in Cody, laying off seven employees.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,20,Planned Closure,Northern Light Health,,,,2025-12-31,ME,Waterville,,Affects around 30 employees.,"Northern Light Health plans to close its Waterville walk-in clinic by the end of 2025, affecting around 30 employees.",closure,office_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,21,Active Closure,Delta Health,,,,2023-09-17,CO,,,,"Delta Health discontinued its obstetrics services on September 17, 2023.",closure,service_line_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,22,Planned Closure,Platte County Hospital,,,,2023-10-15,WY,,Industrywide challenges.,,"Platte County Hospital paused inpatient labor and delivery services effective October 15, 2023, due to industrywide challenges.",closure,unit_closure
41 hospitals closing departments or ending services,2025-12-31T11:04:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/10-hospitals-closing-departments-or-ending-services-8/,23,Active Closure,Hunt Regional Healthcare,,,,2023-09-30,TX,Commerce and Quinlan,Financial losses.,,"Hunt Regional Healthcare closed its emergency departments in Commerce and Quinlan on September 30, 2023, due to financial losses.",closure,unit_closure
The ongoing Steward financial saga: 77 things to know,2025-12-29T16:46:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-ongoing-steward-financial-saga-17-things-to-know/,1,Active Closure,"Steward's Stoughton, Mass.-based New England Sinai Hospital",,,,2023-04-02,MA,,chronic low reimbursement rates for Medicare and Medicaid service,,"Steward closed its Stoughton, Mass.-based New England Sinai Hospital on April 2. The hospital had been open since 1927 and was closed due to chronic low reimbursement rates for Medicare and Medicaid service.",closure,hospital_closure
The ongoing Steward financial saga: 77 things to know,2025-12-29T16:46:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-ongoing-steward-financial-saga-17-things-to-know/,2,Active Closure,Steward's North Shore Medical Center,,,,2023-02-14,FL,,,laid off around 152 people,"Steward's Miami-based North Shore Medical Center closed its obstetrics unit on February 14, weeks earlier than its initial planned closure date. The closure resulted in layoffs of around 152 people.",closure,unit_closure
The ongoing Steward financial saga: 77 things to know,2025-12-29T16:46:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-ongoing-steward-financial-saga-17-things-to-know/,3,Active Closure,Steward's North Shore Medical Center,,,,2023-02-09,FL,,,,Steward's North Shore Medical Center shuttered its neonatal intensive care unit and behavioral health unit on February 9.,closure,unit_closure
The ongoing Steward financial saga: 77 things to know,2025-12-29T16:46:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-ongoing-steward-financial-saga-17-things-to-know/,4,Active Closure,Steward's Medical Center of Southeast Texas,,,,2023-02-02,TX,Beaumont,the campus being underutilized,,"Steward's Port Arthur-based Medical Center of Southeast Texas closed its Beaumont campus on February 2, including its emergency department and all hospital-related services, due to the campus being underutilized.",closure,hospital_closure
The ongoing Steward financial saga: 77 things to know,2025-12-29T16:46:37-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/the-ongoing-steward-financial-saga-17-things-to-know/,5,Active Closure,Steward's Glenwood Regional Medical Center,,,,2023-03-20,LA,,,,"Steward's West Monroe, La.-based Glenwood Regional Medical Center closed its inpatient rehabilitation unit on March 20.",closure,unit_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,2,Resolved,Martin General Hospital,,,,2023-08-03,NC,"Williamston, NC",The hospital sought Chapter 7 bankruptcy protection.,,"Martin General Hospital in Williamston, NC, closed on August 3, 2023, after seeking Chapter 7 bankruptcy protection.",closure,hospital_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,3,Resolved,St. Mark’s Medical Center,,,,2023-10-01,TX,"La Grange, TX",The hospital closed due to financial challenges.,,"St. Mark’s Medical Center in La Grange, TX, closed in October 2023 due to financial challenges.",closure,hospital_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,4,Resolved,Homer G. Phillips Memorial Hospital,,,,2024-03-01,MO,"St. Louis, MO",The hospital's license was surrendered due to a blood supply shortage.,,"Homer G. Phillips Memorial Hospital in St. Louis, MO, closed in mid-March 2024 after surrendering its license due to a blood supply shortage.",closure,hospital_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,5,Resolved,East Ohio Regional Hospital,,,,2024-03-01,OH,"Martins Ferry, OH",The hospital closed in March.,,"East Ohio Regional Hospital in Martins Ferry, OH, closed in March 2024.",closure,hospital_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,6,Resolved,Christus Santa Rosa Hospital—Medical Center,,,,2023-04-25,TX,"San Antonio, TX",The hospital was closed after an evaluation of its operations and the community’s evolving healthcare needs.,,"Christus Santa Rosa Hospital—Medical Center in San Antonio, TX, closed on April 25, 2023, after an evaluation of its operations.",closure,hospital_closure
10 planned hospital reopenings,2025-12-29T14:57:38-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/4-planned-hospital-reopenings/,7,Resolved,Southwest Georgia Regional Medical Center,,,,2020-10-01,GA,"Cuthbert, GA",The hospital closed in October 2020.,,"Southwest Georgia Regional Medical Center in Cuthbert, GA, closed in October 2020.",closure,hospital_closure
Closed St. Louis hospital sold to new owner,2025-12-29T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/closed-st-louis-hospital-sold-to-new-owner/,1,Resolved,St. Luke’s Des Peres Hospital,,,,2025-08-01,MO,St. Louis,Ongoing decline in patient volumes and increased financial challenges.,,St. Luke’s Des Peres Hospital in St. Louis closed on August 1 due to an ongoing decline in patient volumes and increased financial challenges.,closure,hospital_closure
Closed Virginia hospital to reopen,2025-12-26T13:00:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/closed-virginia-hospital-to-reopen/,1,Resolved,Stuart Community Hospital,,,,2024-12-25,VA,Patrick County,The hospital closed in 2017 and was previously known as Pioneer Community Hospital of Patrick County.,,"Stuart Community Hospital closed in 2017 and was acquired by Foresight Health in 2024, which ended plans to reopen. It was then purchased by Braden Health in December 2024, with plans to fully reopen on January 5, 2025.",closure,hospital_closure
'Investing upstream': Nemours Children's maternity strategy,2025-12-23T09:45:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/investing-upstream-nemours-childrens-maternity-strategy/,1,Active Closure,,,,,,,,"Financial pressures, staffing shortages, and declining birth volumes.",,"Many hospitals are closing labor and delivery units due to financial pressures, staffing shortages, and declining birth volumes, which limits access to care in many communities.",closure,service_line_closure
Oregon hospital to temporarily pause labor and delivery,2025-12-19T16:08:48-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/oregon-hospital-to-temporarily-pause-labor-and-delivery/,1,Temporary Closure,Samaritan Lebanon Community Hospital,,,,2026-01-15,OR,"Lebanon, Corvallis",Unplanned loss of OB-GYN physician coverage and patient safety concerns.,Pregnant patients expecting to deliver after mid-January should find a different delivery location.,Samaritan Lebanon Community Hospital will temporarily pause labor and delivery services on January 15 due to a loss of OB-GYN physician coverage. This decision is based on patient safety concerns and the inability to secure continuous physician coverage. The hospital hopes to resume deliveries by April 2026.,closure,service_line_closure
Providence hospital to shutter inpatient pediatric unit in March,2025-12-19T12:19:44-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/providence-hospital-to-shutter-inpatient-pediatric-unit-in-march/,1,Planned Closure,Santa Rosa Memorial Hospital,,,,2026-03-27,CA,,Low patient volumes and financial challenges.,Hundreds of children needing to be transferred to hospitals outside Sonoma County each year.,"Santa Rosa Memorial Hospital will close its inpatient pediatric unit on March 27, 2026, due to low patient volumes and financial challenges. The unit averages fewer than two admitted patients per day. Pediatric patients requiring inpatient care will be transferred to other hospitals.",closure,unit_closure
"Optum closes 3 community centers in Kansas, Missouri",2025-12-19T11:28:25-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/optum-closes-3-community-centers-in-kansas-missouri/,1,Active Closure,Optum,,,,,"MO,KS","Kansas City, MO; Shawnee, KS; North Kansas City, MO","After careful evaluation, we have determined we can no longer keep the Optum community centers open.",Transitioning appointments to virtual visits and encouraging members to explore alternative exercise programs.,"Optum is permanently closing three community centers in the Kansas City area, including locations in Kansas City, MO, Shawnee, KS, and North Kansas City, MO. The decision was made after careful evaluation, and members are being supported with transitions to virtual visits.",closure,facility_closure
Mississippi hospital avoids closure threat amid Medicaid dispute,2025-12-19T09:46:02-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/mississippi-hospital-avoids-closure-threat-amid-medicaid-dispute/,1,Planned Closure,Greenwood Leflore Hospital,,,,,MS,,Threat of closure due to repayment demands from Medicaid.,,"Greenwood Leflore Hospital faced a threat of closure due to a $2.5 million repayment demand from Medicaid. However, a temporary agreement was reached to limit repayments, allowing the hospital to continue operations.",closure,hospital_closure
December's healthcare bankruptcy surge,2025-12-18T16:24:18-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/decembers-healthcare-bankruptcy-surge/,1,Planned Closure,North Country HealthCare,,,,2025-12-19,AZ,"Flagstaff, Arizona",Seeking Chapter 11 bankruptcy to restructure finances.,Patient care will continue as usual.,"North Country HealthCare in Flagstaff, Arizona, will seek Chapter 11 bankruptcy on December 19 to restructure its finances. The organization has reached an acquisition agreement with El Rio Health to sustain access to primary care in northern Arizona. Patient care will continue without disruption.",closure,facility_closure
December's healthcare bankruptcy surge,2025-12-18T16:24:18-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/decembers-healthcare-bankruptcy-surge/,2,Planned Closure,Rock Regional Hospital,,,,,KS,"Derby, Kansas",Filed for Chapter 11 bankruptcy protection to maintain operations.,Hospital will continue serving the community without interruption.,"Rock Regional Hospital in Derby, Kansas, filed for Chapter 11 bankruptcy protection in early December to help maintain patient care and hospital operations. The filing will allow the hospital to seek financial restructuring while continuing to serve the community.",closure,hospital_closure
December's healthcare bankruptcy surge,2025-12-18T16:24:18-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/decembers-healthcare-bankruptcy-surge/,3,Planned Closure,Oroville Hospital,,,,2025-12-08,CA,"Oroville, California",Filed for Chapter 11 bankruptcy to secure long-term future.,Hospital will continue operating while seeking a partner.,"Oroville Hospital and its parent organization, OroHealth, filed for Chapter 11 bankruptcy on December 8 to facilitate a transaction for securing the hospital's long-term future. The filing allows the hospital to continue operating while seeking a partner with the capacity to invest in the organization.",closure,hospital_closure
Alabama county declines added funds for struggling hospital,2025-12-18T15:24:32-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/alabama-county-declines-added-funds-for-struggling-hospital/,1,Planned Closure,Jackson Hospital,,,,2025-12-31,AL,"Montgomery, River Region",The hospital is facing financial difficulties and may need to provide a closure plan by the end of 2025.,Access to care for vulnerable residents at risk.,"Jackson Hospital in Montgomery, Alabama, is facing potential closure due to financial struggles. A bankruptcy judge has given the hospital until the end of 2025 to provide a closure plan. This situation puts access to care for vulnerable residents at risk.",closure,hospital_closure
20 healthcare bankruptcies in 2025,2025-12-18T14:59:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-healthcare-bankruptcies-in-2025/,2,Active Closure,Southern Tier Orthodontics,,,,2025-01-01,NY,,Personal and financial reasons.,"Patients will not be reimbursed, even for those that paid in full or advance.","Southern Tier Orthodontics abruptly closed in early January due to personal and financial reasons, informing patients that they would not be able to reimburse them.",closure,office_closure
Tennessee hospital pauses maternity services after OB-GYN departure,2025-12-15T08:35:04-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/tennessee-hospital-pauses-maternity-services-after-ob-gyn-departure/,1,Active Closure,Southern Tennessee Regional Health System Pulaski,,,,2025-12-11,TN,,Departure of last full-time obstetrician.,,"Southern Tennessee Regional Health System Pulaski has suspended labor and delivery services effective December 11, 2025, due to the departure of its last full-time obstetrician. The facility will continue to provide other women's and children's services.",closure,service_line_closure
Tower Health to close hospital rehab center,2025-12-12T08:47:39-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/tower-health-to-close-hospital-rehab-center/,1,Planned Closure,Tower Health,,,,,PA,Phoenixville,Part of a larger plan to restructure operations and lay off employees.,"Affects 55 employees, with nearly all offered new positions.","Tower Health will close the post-acute rehab center at its Phoenixville Hospital as part of a restructuring plan. This closure will affect 55 employees, most of whom have been offered new positions.",closure,facility_closure
Vermont hospital walks back plans to close inpatient pediatric unit,2025-12-11T15:40:32-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/vermont-hospital-walks-back-plans-to-close-inpatient-pediatric-unit/,1,Planned Closure,Rutland Regional Medical Center,,,,2025-12-21,VT,,Proposed redesign of pediatric services to transition care to other settings.,,"Rutland Regional Medical Center had proposed to cease all pediatric admissions to its inpatient unit, transitioning care to the emergency department and outpatient settings. This plan was set to take effect on December 21, but the hospital has since withdrawn the proposal.",closure,unit_closure
Missouri hospital nets rural emergency designation,2025-12-10T17:03:55-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/missouri-hospital-nets-rural-emergency-designation/,1,Planned Closure,Pemiscot Memorial Hospital,,,,,MO,Hayti,The hospital was at risk of closure before converting to a rural emergency hospital.,,"Pemiscot Memorial Hospital in Hayti, MO, was at risk of closure before converting to a rural emergency hospital. This change allows the hospital to continue offering emergency care and outpatient services while improving financial stability.",closure,hospital_closure
Kansas hospital files for Chapter 11 protection,2025-12-09T12:36:07-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/kansas-hospital-files-for-chapter-11-protection/,1,Active Closure,Rock Regional Hospital,,,,,KS,Derby,Filing for Chapter 11 bankruptcy protection to maintain operations and pursue financial restructuring.,,"Rock Regional Hospital in Derby, Kansas, has filed for Chapter 11 bankruptcy protection to maintain patient care and hospital operations. The hospital remains fully operational, with no expected changes to services or staffing.",closure,other_closure
OSF HealthCare defers plans for replacing Illinois hospital,2025-12-09T09:39:01-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/osf-healthcare-defers-plans-for-replacing-illinois-hospital/,1,Planned Closure,OSF HealthCare,,,,,IL,"Ottawa, LaSalle County",Withdrawal of permit applications due to significant shifts in regulatory requirements and regional healthcare needs.,,"OSF HealthCare has withdrawn its applications to replace OSF St. Elizabeth Ottawa hospital and discontinue services at the facility due to changing regulatory and healthcare needs. The existing deferral is set to expire on March 31, 2026.",closure,facility_closure
California hospital files for Chapter 11 protection,2025-12-08T15:27:46-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-hospital-files-for-chapter-11/,1,Active Closure,Oroville Hospital,,,,,CA,"Oroville, California",Chapter 11 bankruptcy protection filing,,Oroville Hospital filed for Chapter 11 bankruptcy protection on December 8 to secure its long-term future. The hospital and its related services will remain open throughout the process.,closure,other_closure
A case for alternative payment models in pediatric care,2025-12-08T13:30:22-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/a-case-for-alternative-payment-models-in-pediatric-care/,1,Active Closure,,,,,,,U.S.,Financial strain and persistent workforce shortages.,Could significantly limit access to specialized care for millions of children.,"Over the past 20 years, hospitals across the U.S. have shuttered pediatric units due to financial strain and persistent workforce shortages. This trend could significantly limit access to specialized care for millions of children.",closure,unit_closure
"New York system warns of cuts, missed payroll without state aid",2025-12-04T16:33:17-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-york-system-warns-of-cuts-missed-payroll-without-state-aid/,1,Planned Closure,North Star Health Alliance,,,,,NY,"Ogdensburg, Carthage, Watertown",Financial challenges and lack of state funding support.,"Potential job losses and program cuts affecting 1,700 employees.",North Star Health Alliance is facing financial challenges that could lead to facility closures and job losses. The organization is seeking state funding to avoid these outcomes.,closure,facility_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,1,Planned Closure,Greene County General Hospital,,,,2025-01-31,IN,,Strategic transition in response to long-term challenges facing rural hospitals.,,Greene County General Hospital will end obstetric services effective Jan. 31 as part of a strategic transition due to long-term challenges.,closure,service_line_closure
29 maternity service closures in 2025,2025-12-04T12:30:00-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/7-maternity-service-closures-in-2025/,2,Active Closure,Centra Southside Community Hospital,,,,2025-12-19,VA,"Farmville, VA",,,Centra Southside Community Hospital will close the labor and delivery unit and OB-GYN surgical services on Dec. 19.,closure,service_line_closure
